会社コード,業種名,和文社名,住所,lat,lon
420120,情報・システム・ソフト,Ｖｅｅｖａ　Ｊａｐａｎ（株）,東京都渋谷区恵比寿１－１９－１９　恵比寿ビジネスタワー５階,35.6475266,139.7125988
420131,他サービス,インパラ・プラチナム・ジャパン（株）,東京都千代田区内幸町１－３－３　内幸町ダイビル７０２,35.6693995,139.7569121
420132,機械卸売,Ｕｐｓｏｌａｒ　Ｊａｐａｎ（株）,東京都千代田区神田神保町１－１３　Ｃｏｎｖｅｘ神保町１０階,35.6964516,139.7597872
420133,電気機器卸売,ＡＩＴジャパン（株）,東京都品川区北品川３－６－６　品川御殿山ビル８階,35.6202697,139.7397567
420142,電気機器卸売,ハーマンインターナショナル（株）,東京都千代田区神田練塀町３００　住友不動産秋葉原駅前ビル１４階,35.6998224,139.7747035
420145,電気機器卸売,ＡＡＣ　Ｔｅｃｈｎｏｌｏｇｉｅｓ　ＰＴＥ．ＬＴＤ．（東京支店）,東京都中央区日本橋小伝馬町１６－６　香取ビル４階,35.6922069,139.7796857
420159,他金融,（株）ゴードン・ブラザーズ・ジャパン,東京都千代田区大手町１－６－１　大手町ビル３階,35.6864055,139.7648086
420163,情報・システム・ソフト,セレゴ・ジャパン（株）,東京都渋谷区渋谷３－２６－１６　第５叶ビル,35.6541654,139.7055971
420190,電力・ガス,ビーシーピージージャパン（株）,東京都港区赤坂１－１１－４４　赤坂インターシティ６階,35.6688986,139.7425432
430001,他サービス,Ｖｉｄｙｏ　Ｊａｐａｎ（株）,東京都中央区京橋２－７－１４　Ｂｕｒｅｘ京橋８階,35.6768545,139.7713181
430002,化学卸売,パネルジャパン（株）,東京都千代田区麹町１－３－２３　麹町１丁目３番地ビル７０１号室,35.683905,139.7418514
430004,食料品卸売,（株）ＧｏｌｄｅｎＢｉｏｔｅｃｈｎｏｌｏｇｙ　Ｊａｐａｎ,東京都中央区日本橋蛎殻町２－１３－３　日本橋梶原ビル３階,35.6842844,139.7858772
430005,他製造業,スパルジャパン（株）,東京都品川区東五反田１－５－４,35.6270093,139.7264608
430007,医薬品,ワクチノーバ（株）,東京都港区浜松町１－２４－８　オリックス浜松町ビル４階,35.657292,139.7567027
